price,bedrooms,bathrooms,area,land_area,latitude,longitude,zestimate,rent,source
60000.0,2.0,1.0,1851.0,5.72,31.474384,-85.850395,,1800.0,USA
133000.0,2.0,2.0,778.0,0.0,33.498814,-86.82817,,,USA
179000.0,3.0,2.0,1320.0,1.0,34.7451,-86.612724,166800.0,1594.0,USA
89900.0,5.0,1.0,3459.0,3.7,34.736748,-87.89004,,,USA
178000.0,3.0,2.0,1444.0,0.16,33.490116,-86.890594,,,USA
249900.0,4.0,3.0,2954.0,0.4635,30.64961,-88.21921,,,USA
129900.0,5.0,4.0,1505.0,0.1836,30.6478,-88.08221,127600.0,1099.0,USA
229900.0,4.0,2.0,2494.0,0.92,30.336601,-87.695,,,USA
122000.0,4.0,2.0,1034.0,0.1825,30.71276,-88.191345,120700.0,1300.0,USA
175000.0,3.0,2.0,1664.0,0.0,31.240427,-85.43404,165000.0,1435.0,USA
329900.0,4.0,2.0,2349.0,,33.303703,-87.594124,328500.0,1999.0,USA
139900.0,4.0,2.0,2295.0,0.86,32.484257,-88.31267,,,USA
359900.0,3.0,2.0,1874.0,20.0,30.441343,-88.31281,,,USA
269000.0,5.0,3.0,2472.0,0.4579889807162534,31.257858,-85.4552,263800.0,1999.0,USA
189000.0,3.0,2.0,1860.0,0.4549999999999999,30.347391,-87.501076,,,USA
274800.0,3.0,2.0,2190.0,0.4,33.27857,-86.830025,279600.0,1648.0,USA
355000.0,4.0,3.0,2508.0,0.2,32.615627,-85.38071,,,USA
422000.0,3.0,3.0,1265.0,0.1435,30.232487,-87.977135,404700.0,2400.0,USA
249900.0,3.0,3.0,1888.0,0.4006999999999999,30.635536,-88.270996,250400.0,1800.0,USA
329500.0,3.0,2.0,1914.0,0.21,33.360428,-86.623604,,,USA
249900.0,4.0,2.0,1807.0,0.3432,30.582676,-88.18447,197700.0,1650.0,USA
159900.0,3.0,2.0,1439.0,0.3299999999999999,30.86652,-87.78434,,,USA
674900.0,5.0,5.0,3923.0,0.4,34.700047,-86.76704,674500.0,4140.0,USA
240000.0,3.0,2.0,1361.0,0.2329999999999999,30.404423,-87.67775,237500.0,1800.0,USA
170000.0,3.0,2.0,1450.0,0.42,32.461464,-86.43951,,,USA
159900.0,4.0,3.0,2238.0,0.1721763085399449,32.38716,-86.27291,,,USA
85000.0,3.0,2.0,1176.0,0.1699999999999999,32.3066,-86.33512,,,USA
268000.0,2.0,2.0,1927.0,,34.797318,-86.92516,291400.0,1892.0,USA
164900.0,3.0,2.0,1319.0,0.2307999999999999,30.637695,-88.179756,165200.0,1200.0,USA
240000.0,4.0,3.0,2430.0,0.02,33.768818,-86.62087,239500.0,1746.0,USA
165000.0,3.0,2.0,1840.0,,31.507168,-87.31117,,,USA
249900.0,2.0,2.0,1300.0,,34.201015,-86.16064,,,USA
104900.0,3.0,1.0,1025.0,1.4,31.317612,-85.91449,96200.0,999.0,USA
600000.0,4.0,4.0,3510.0,0.48,34.79965,-86.48301,599500.0,3427.0,USA
175000.0,3.0,1.0,1438.0,0.16,33.553673,-86.715324,,,USA
430000.0,2.0,3.0,2160.0,11.24,34.037712,-85.610985,,,USA
93000.0,5.0,2.0,3078.0,0.71,31.430414,-86.95541,,1376.0,USA
310000.0,5.0,4.0,3320.0,0.45,34.721184,-86.550224,296800.0,3198.0,USA
789900.0,4.0,4.0,3240.0,0.4,33.397533,-86.63604,,,USA
324000.0,3.0,3.0,2274.0,0.49,33.141056,-86.77153,,,USA
299000.0,3.0,2.0,1730.0,0.222,30.365225,-87.71655,,,USA
369900.0,3.0,2.0,1700.0,0.3,32.579987,-85.47276,,,USA
272900.0,3.0,2.0,1489.0,,34.822567,-86.83447,,,USA
250000.0,3.0,2.0,1088.0,0.3299999999999999,30.405363,-87.77882,247200.0,2199.0,USA
235900.0,3.0,2.0,1428.0,0.173,30.63612,-87.78366,234700.0,1700.0,USA
439000.0,5.0,3.0,2660.0,0.61,33.203835,-86.80198,391400.0,2213.0,USA
409900.0,4.0,2.0,2163.0,1.09,33.93738,-85.96582,,,USA
650000.0,4.0,4.0,2839.0,,30.260681,-87.70223,,,USA
299999.0,4.0,2.0,1731.0,0.161,30.579481,-87.84395,,,USA
160000.0,4.0,3.0,1792.0,0.7467,30.675133,-88.23147,159200.0,1599.0,USA
110000.0,3.0,2.0,1222.0,0.2289,30.712626,-88.19037,110300.0,1350.0,USA
167500.0,3.0,2.0,1336.0,0.4599999999999999,31.295835,-85.833595,165800.0,1764.0,USA
190000.0,2.0,1.0,864.0,0.0,33.471996,-86.786545,,,USA
265000.0,3.0,2.0,1341.0,0.22,34.17533,-86.83396,263700.0,1650.0,USA
299500.0,3.0,2.0,1755.0,1.0,30.470724,-87.81819,,,USA
299900.0,4.0,2.0,2047.0,0.24,30.434465,-87.752716,,,USA
134900.0,4.0,1.0,1817.0,0.246,30.631083,-88.10963,,1400.0,USA
127999.0,3.0,1.0,1813.0,0.2118999999999999,32.323402,-86.29356,,,USA
397500.0,3.0,2.0,1693.0,0.25,32.575935,-85.49536,,,USA
279950.0,3.0,2.0,1535.0,,30.61962,-88.267395,,1942.0,USA
142000.0,3.0,2.0,1500.0,0.7508,30.56557,-88.228935,,1266.0,USA
130000.0,3.0,2.0,1660.0,1.0,30.680765,-88.10756,127800.0,1514.0,USA
169000.0,4.0,2.0,1267.0,0.1966,30.711075,-88.19744,,1147.0,USA
319900.0,4.0,3.0,2600.0,0.47,33.178677,-87.47292,309400.0,1814.0,USA
227900.0,3.0,2.0,1515.0,0.2365,30.714804,-88.147964,227800.0,1558.0,USA
225000.0,3.0,2.0,1704.0,0.24,30.65488,-87.892334,223200.0,2299.0,USA
200000.0,4.0,3.0,5470.0,0.36,33.57317,-86.68901,196400.0,2932.0,USA
194900.0,3.0,2.0,1433.0,5.45,31.079906,-86.42805,,,USA
210000.0,5.0,3.0,3656.0,,32.628574,-87.319466,241400.0,1999.0,USA
166900.0,2.0,2.0,1476.0,0.2,31.26417,-85.422714,165200.0,1700.0,USA
640000.0,4.0,3.0,2807.0,0.345,30.626759,-87.87644,,,USA
199000.0,8.0,4.0,3150.0,1.9,31.442524,-85.60594,198000.0,,USA
139900.0,4.0,3.0,4110.0,1.09,33.588623,-86.73935,138200.0,1570.0,USA
312000.0,3.0,2.0,1560.0,0.48,32.606426,-85.45639,,,USA
170000.0,3.0,2.0,1750.0,4.0,31.094666,-88.004585,,,USA
226500.0,3.0,2.0,1522.0,0.13,32.428448,-86.45171,225400.0,1584.0,USA
169900.0,3.0,2.0,1862.0,0.8699999999999999,32.371876,-86.24128,,,USA
195000.0,3.0,3.0,2128.0,1.12,31.333715,-85.39057,50300.0,1778.0,USA
230000.0,3.0,2.0,1372.0,0.35,33.665035,-86.5084,,,USA
139391.0,3.0,2.0,1568.0,0.49,31.332989,-85.599846,136300.0,1389.0,USA
274500.0,3.0,2.0,1642.0,2.7,33.748173,-86.981186,255500.0,1433.0,USA
225000.0,2.0,2.0,1200.0,0.45,34.75263,-86.95664,,,USA
375000.0,4.0,3.0,2504.0,0.67,33.41161,-86.79205,383100.0,2464.0,USA
295000.0,5.0,2.0,1925.0,0.11,30.637468,-87.89588,292900.0,2100.0,USA
125000.0,3.0,1.0,1000.0,,34.00362,-86.12681,118400.0,972.0,USA
50000.0,3.0,1.0,1245.0,0.1506,30.740385,-88.093895,48500.0,1200.0,USA
200000.0,4.0,3.0,2238.0,0.2969,30.68334,-88.198875,199700.0,1900.0,USA
250000.0,3.0,2.0,1272.0,1.2,34.12248,-87.05896,251200.0,1507.0,USA
195000.0,3.0,2.0,1293.0,0.4659999999999999,30.476803,-88.33238,187300.0,1298.0,USA
189000.0,3.0,3.0,1205.0,1.5,33.056057,-87.570274,184800.0,1266.0,USA
869900.0,3.0,4.0,1507.0,0.039,30.265562,-87.61141,,,USA
449999.0,4.0,2.0,2156.0,2.2311,30.50111,-88.165405,447600.0,1460.0,USA
250000.0,3.0,2.0,1634.0,1.7,34.822517,-86.58565,,,USA
158000.0,4.0,3.0,1976.0,0.73,32.667465,-85.18102,155200.0,2243.0,USA
189900.0,3.0,2.0,1382.0,1.0,34.515076,-85.67819,,,USA
599000.0,3.0,2.0,1279.0,0.1399999999999999,30.251629,-87.69282,,,USA
299000.0,5.0,4.0,4567.0,0.8300000000000001,32.356705,-86.30008,,,USA
335900.0,2.0,2.0,1566.0,0.0,33.50458,-86.78514,,,USA
99900.0,3.0,2.0,2000.0,0.4655,30.877403,-88.30783,93200.0,688.0,USA
375000.0,3.0,3.0,2519.0,0.1399999999999999,34.660786,-86.73575,374400.0,2184.0,USA
150000.0,4.0,1.0,1325.0,0.27,33.56158,-86.72133,,,USA
229900.0,4.0,2.0,2354.0,0.35,33.633404,-86.66044,,,USA
349900.0,3.0,2.0,1885.0,0.232,30.599081,-87.86608,,,USA
180000.0,3.0,2.0,1224.0,0.1541,30.620256,-88.145485,179200.0,1494.0,USA
349000.0,3.0,2.0,1743.0,0.144,30.419397,-87.69455,,,USA
130000.0,4.0,2.0,1295.0,0.1721763085399449,34.023613,-86.0518,95100.0,1192.0,USA
135000.0,3.0,1.0,1242.0,0.3399999999999999,31.30808,-85.871994,133700.0,1164.0,USA
380000.0,4.0,3.0,3202.0,3.57,32.53193,-86.11993,360700.0,2231.0,USA
539000.0,2.0,3.0,1710.0,,30.245024,-87.71913,,,USA
184900.0,4.0,2.0,1703.0,0.3299999999999999,32.45789,-86.44706,,,USA
539000.0,1.0,1.0,685.0,0.0001,30.262003,-87.61198,,,USA
95000.0,2.0,2.0,2256.0,1.8,33.800705,-86.89107,,1325.0,USA
129900.0,3.0,2.0,1428.0,0.26,32.337,-86.29974,127500.0,1019.0,USA
295000.0,3.0,2.0,1471.0,0.37,32.595737,-85.55934,,,USA
59900.0,1.0,1.0,741.0,0.0,33.66169,-86.67905,58500.0,741.0,USA
285000.0,3.0,2.0,1920.0,3.0,31.705172,-85.99862,278400.0,1867.0,USA
275000.0,3.0,3.0,2517.0,0.88,33.338062,-86.79956,273600.0,1949.0,USA
159900.0,3.0,1.0,1136.0,0.76,33.588055,-86.717026,,,USA
180000.0,3.0,1.0,1218.0,0.5,34.83629,-87.036156,,,USA
189990.0,2.0,2.0,1773.0,0.65,31.256407,-85.43638,188000.0,1500.0,USA
229900.0,3.0,2.0,1292.0,0.55,33.067043,-87.694695,,1371.0,USA
329900.0,3.0,2.0,1728.0,0.19,30.295889,-87.66739,,,USA
199000.0,3.0,2.0,1224.0,,33.10935,-87.46574,141100.0,1227.0,USA
69000.0,3.0,1.0,1050.0,0.16,32.40325,-86.28537,66500.0,950.0,USA
258000.0,4.0,2.0,1791.0,0.29,33.141556,-87.568474,257400.0,1794.0,USA
265000.0,4.0,3.0,2453.0,0.17,32.44735,-84.99815,,,USA
199220.0,3.0,2.0,1505.0,0.8023,30.467716,-88.23551,192200.0,1450.0,USA
409000.0,4.0,5.0,2924.0,10.0,32.446907,-86.55534,,,USA
179900.0,3.0,1.0,1100.0,0.65,34.797276,-87.50192,,,USA
205000.0,3.0,2.0,1640.0,0.36,32.53751,-85.8778,,,USA
183000.0,4.0,2.0,1488.0,0.2799999999999999,32.408894,-86.201035,182400.0,1450.0,USA
599500.0,4.0,3.0,2592.0,0.44,33.497654,-86.71149,,,USA
119900.0,3.0,2.0,1060.0,0.79,31.542847,-87.88674,,,USA
599000.0,3.0,2.0,1524.0,0.2659999999999999,30.282024,-87.53777,,,USA
225000.0,3.0,2.0,1262.0,0.17,33.269222,-86.84463,,,USA
279000.0,3.0,2.0,1528.0,0.295,30.396852,-87.67533,,,USA
250000.0,4.0,2.0,2600.0,0.4337,30.62461,-88.09249,,2100.0,USA
150000.0,4.0,2.0,1600.0,4.8,34.148727,-86.77304,149200.0,1822.0,USA
430000.0,4.0,3.0,2802.0,0.42,30.682983,-87.90636,,,USA
64900.0,4.0,2.0,1313.0,0.0301423324150596,31.22486,-85.25838,62300.0,1300.0,USA
149900.0,3.0,3.0,1556.0,0.65,33.0,-87.0,,,USA
180000.0,4.0,2.0,1511.0,0.39,34.78267,-86.58862,179400.0,1433.0,USA
139900.0,3.0,3.0,2149.0,0.5,34.300037,-86.39073,139800.0,1800.0,USA
395000.0,4.0,3.0,2100.0,0.37,32.68981,-85.17476,,,USA
369900.0,4.0,3.0,2106.0,0.36,32.63288,-85.48234,,,USA
149000.0,3.0,1.0,1217.0,0.1883,30.71445,-88.135284,,1300.0,USA
140000.0,3.0,2.0,1418.0,0.17,33.501514,-86.89199,130000.0,1212.0,USA
299319.0,4.0,2.0,2520.0,0.9141,30.761631,-88.292496,298200.0,2025.0,USA
195000.0,3.0,2.0,1712.0,1.0,34.356606,-86.522484,194300.0,1628.0,USA
154990.0,2.0,1.0,925.0,0.21,34.42224,-86.25966,146600.0,1200.0,USA
270000.0,4.0,2.0,2002.0,0.44,32.232662,-84.973465,,,USA
382900.0,4.0,2.0,1856.0,0.1433,30.302923,-87.69361,,,USA
169900.0,3.0,2.0,1152.0,2.15,32.878918,-86.56741,169500.0,1194.0,USA
180000.0,3.0,2.0,1902.0,0.3299999999999999,31.264801,-85.72387,,,USA
49950.0,3.0,2.0,1696.0,0.5,33.654697,-85.90091,,1194.0,USA
139000.0,3.0,2.0,1760.0,3.0,32.981297,-86.03913,,,USA
224900.0,3.0,2.0,2000.0,0.24,32.444508,-86.47387,,,USA
350000.0,4.0,2.0,2289.0,0.51,34.777668,-86.48719,,,USA
184900.0,3.0,3.0,1400.0,0.5,34.81635,-87.262695,182100.0,1300.0,USA
139900.0,3.0,2.0,1760.0,3.0,32.981277,-86.039116,,605.0,USA
375000.0,5.0,4.0,2600.0,0.665,30.678589,-87.90917,,,USA
80000.0,3.0,1.0,1187.0,4.0,33.787724,-88.165764,76700.0,1650.0,USA
395000.0,3.0,2.0,2925.0,6.0,32.512672,-87.71695,393600.0,2459.0,USA
300000.0,4.0,3.0,2541.0,2.3,30.790745,-88.30819,298900.0,1099.0,USA
276900.0,5.0,3.0,2370.0,10.0,32.91567,-86.69866,,1905.0,USA
255000.0,3.0,2.0,2349.0,0.53,34.191113,-86.81209,253100.0,1599.0,USA
192500.0,3.0,2.0,1232.0,0.3775,30.62828,-88.35601,,,USA
154900.0,4.0,2.0,1344.0,0.93,31.65619,-85.10319,117000.0,,USA
399500.0,3.0,2.0,1908.0,3.07,30.494781,-87.73094,,,USA
239900.0,4.0,3.0,2100.0,0.302,30.887451,-87.77709,,,USA
160000.0,3.0,2.0,1016.0,0.5,33.688515,-85.862495,159400.0,1032.0,USA
390410.0,4.0,3.0,2400.0,2.3,30.559324,-88.4035,392200.0,2649.0,USA
239900.0,4.0,2.0,1755.0,0.68,34.907852,-85.76508,238000.0,1599.0,USA
250000.0,3.0,2.0,1457.0,0.21,34.61809,-86.54882,247200.0,1599.0,USA
299900.0,3.0,2.0,1588.0,0.2388,30.37459,-87.69701,,,USA
389000.0,4.0,3.0,2210.0,0.25,34.635723,-86.49413,,,USA
365000.0,4.0,3.0,2797.0,10.0,31.106539,-85.629974,,,USA
67900.0,4.0,2.0,2432.0,0.77,33.142124,-86.60367,,,USA
300000.0,3.0,2.0,1480.0,0.2460973370064279,34.61587,-86.497795,,,USA
198000.0,3.0,2.0,1828.0,0.4658,30.841074,-88.08948,199700.0,1599.0,USA
314900.0,4.0,2.0,1932.0,0.2,34.75443,-86.88578,314100.0,1914.0,USA
299900.0,3.0,2.0,1654.0,1.65,34.61488,-86.45121,298300.0,1934.0,USA
329900.0,3.0,2.0,1305.0,0.351,30.275293,-87.68028,,,USA
134000.0,2.0,3.0,1320.0,,32.35384,-86.20596,116400.0,1150.0,USA
249900.0,3.0,2.0,1586.0,0.37,34.67045,-86.05488,247400.0,1235.0,USA
429900.0,4.0,3.0,2526.0,0.25,33.12312,-87.54705,,,USA
162000.0,3.0,1.0,1100.0,1.0,34.801434,-86.959984,,,USA
